# Created by Octave 3.2.2, Sat Jan 23 21:21:26 2010 EST <matthewbot@Matt>
# name: samples
# type: matrix
# rows: 2134
# columns: 2
 0.021 1.051257
 0.011 1.051209
 0.01525 1.051116
 0.02125 1.050752
 0.02125 1.050798
 0.036 1.050848
 0.022 1.050858
 -0.00225 1.052606
 0.001 1.052499
 0.0285 1.052744
 -0.00275 1.052842
 0.02525 1.05275
 0.02925 1.053025
 0.03725 1.052801
 0.016 1.052815
 0.01925 1.052834
 0.01325 1.052999
 0.01375 1.053207
 0.029 1.053135
 0.04525 1.055814
 0.02 1.055759
 0.00125 1.055544
 0.0105 1.055407
 0.01125 1.055153
 0.0225 1.0551
 0.002 1.055287
 -0.003 1.052639
 0.005 1.052793
 0.0165 1.05288
 0.017 1.052763
 0.027 1.052532
 0.022 1.052132
 0.03325 1.051973
 0.04 1.05229
 0.018 1.05258
 0.00975 1.052705
 0.037 1.053041
 0.0345 1.052906
 0.0305 1.052647
 0.043 1.052471
 0.025 1.052225
 0.029 1.052343
 0.002 1.050644
 -0.007 1.050563
 0.00975 1.050677
 0.02575 1.050592
 0.027 1.050775
 0.02 1.050797
 0.028 1.050834
 0.02775 1.052377
 0.00725 1.052111
 0.01175 1.051973
 0.0165 1.052047
 0.02525 1.049443
 -0.00075 1.049791
 0.019 1.049936
 0.0385 1.050057
 0.008 1.050141
 0.04375 1.049946
 0.008 1.049645
 0.022 1.049259
 0.02375 1.049264
 0.04 1.04941
 0.0345 1.049601
 0.04125 1.049805
 0.013 1.049935
 0.01925 1.049529
 0.027 1.054543
 0.02575 1.054181
 0.0125 1.05542
 0.014 1.055748
 0.02325 1.055996
 0.01975 1.056273
 0.02525 1.056489
 0.0225 1.050999
 0.035 1.050749
 0.0025 1.047451
 0.035 1.047272
 0.041 1.047441
 0.04575 1.047337
 0.0365 1.047332
 0.036 1.050131
 0.0145 1.050081
 0.032 1.051764
 0.0405 1.051688
 0.012 1.051801
 0.0365 1.051784
 0.018 1.051478
 0.02975 1.05107
 0.025 1.050894
 0.02925 1.051166
 0.0205 1.051406
 0.021 1.051678
 0.00775 1.051856
 0.00575 1.051647
 0.01125 1.051466
 0.02325 1.051366
 0.01375 1.051084
 0.0345 1.051165
 0.013 1.051376
 0.00125 1.051513
 0.01575 1.049212
 0.02325 1.049306
 0.038 1.049037
 0.02725 1.04748
 0.015 1.047306
 0.01175 1.047211
 0.024 1.047429
 0.02 1.050159
 0.008999999999999999 1.050254
 0.042 1.053426
 0.039 1.053249
 0.0445 1.05312
 0.037 1.052915
 0.03175 1.052631
 0.01375 1.050115
 0.023 1.049933
 0.022 1.048505
 0.0165 1.048673
 0.0305 1.048613
 0.008 1.048759
 0.021 1.048802
 0.0285 1.051433
 0.008 1.051472
 0.02125 1.051329
 0.016 1.051916
 0.03325 1.051682
 0.008 1.051651
 0.07000000000000001 1.051885
 0.073 1.058458
 0.0645 1.058106
 0.003 1.052819
 -0.07275 1.054026
 -0.047 1.052081
 0.06125 1.05212
 0.008999999999999999 1.054014
 -0.114 1.04218
 -0.146 1.039946
 0.08975 1.042269
 0.32375 1.043226
 0.16325 1.039528
 0.044 1.039771
 0.08925 1.038872
 0.1 1.038628
 0.01975 1.042014
 0.077 1.053513
 -0.1795 1.052136
 -0.06950000000000001 1.049189
 -0.472 1.046979
 -0.242 1.058143
 0.275 1.054548
 0.253 1.051452
 1.06125 1.049365
 0.3925 1.050485
 0.008999999999999999 1.052619
 -0.707 1.052784
 -0.18025 1.037678
 0.10925 1.035846
 0.10525 1.039392
 0.98725 1.036989
 0.31125 1.036431
 -0.187 1.043005
 -0.148 1.043566
 0.09 1.050551
 0.88175 1.051313
 0.7325 1.05353
 -0.256 1.050628
 -0.54 1.047669
 -0.425 1.050611
 -0.28475 1.044765
 -0.18475 1.038014
 -0.469 1.02799
 -0.294 1.027064
 0.867 1.02573
 0.99325 1.05185
 0.74525 1.066006
 -0.399 1.069967
 -0.88675 1.061444
 -0.02025 1.058957
 0.81775 1.054647
 1.56525 1.062938
 0.56575 1.075037
 -1.23025 1.07772
 -1.8095 1.069562
 -1.07075 1.070667
 -0.04275 1.077342
 1.487 1.070429
 1.35725 1.062644
 0.598 1.059465
 -0.301 1.056123
 -0.96475 1.054046
 -1.6095 1.059697
 -0.747 1.061003
 0.09775 1.053668
 0.908 1.050421
 0.374 1.055698
 0.955 1.059857
 1.159 1.077184
 0.616 1.079388
 0.2585 1.0826
