# Created by Octave 3.2.2, Sun Jan 17 14:48:43 2010 EST <matthewbot@Matt>
# name: samples
# type: matrix
# rows: 6590
# columns: 2
 -0.2775 0.123424
 -0.24825 0.53247
 -0.2155 0.53247
 -0.26625 0.53247
 -0.3735 0.53247
 -0.42 0.53247
 -0.4395 0.53247
 -0.4015 0.53247
 -0.3375 0.594349
 -0.24025 0.594349
 -0.208 0.594349
 -0.28425 0.594349
 -0.382 0.594349
 -0.438 0.594349
 -0.40475 0.594349
 -0.3275 0.312785
 -0.262 0.312785
 -0.19 0.312785
 -0.26875 0.312785
 -0.3475 0.312785
 -0.2895 -0.334515
 -0.3955 -0.221247
 -0.37225 -0.221247
 -0.407 -0.221247
 -0.41 -0.221247
 -0.27875 -0.221247
 -0.29275 -0.221247
 -0.27675 -0.221247
 -0.38675 0.264007
 -0.2895 0.264007
 -0.3195 0.264007
 -0.37075 0.264007
 -0.363 0.264007
 -0.303 0.264007
 -0.44625 0.264007
 -0.4235 -0.304994
 -0.3655 -0.304994
 -0.41 -0.304994
 -0.357 -0.304994
 -0.3175 -0.304994
 -0.2975 -0.304994
 -0.303 -0.304994
 -0.2555 -0.330898
 -0.38425 -0.330898
 -0.38 -0.330898
 -0.3955 -0.330898
 -0.3315 -0.330898
 -0.418 -0.330898
 -0.35675 -0.330898
 -0.41625 0.787146
 -0.39875 0.787146
 -0.267 0.787146
 -0.274 0.787146
 -0.374 0.787146
 -0.268 0.787146
 -0.42675 0.787146
 -0.46075 0.8218760000000001
 -0.292 0.8218760000000001
 -0.34225 0.8218760000000001
 -0.43225 0.8218760000000001
 -0.414 0.8218760000000001
 -0.3575 0.8218760000000001
 -0.27025 0.8218760000000001
 -0.3215 0.736529
 -0.25 0.736529
 -0.348 0.736529
 -0.419 0.736529
 -0.41 0.736529
 -0.438 0.736529
 -0.34025 0.736529
 -0.2615 -0.070964
 -0.40025 -0.070964
 -0.34075 -0.070964
 -0.4415 -0.070964
 -0.38425 -0.070964
 -0.447 -0.070964
 -0.297 -0.070964
 -0.291 -0.177396
 -0.307 -0.177396
 -0.2835 -0.177396
 -0.314 -0.177396
 -0.4415 -0.177396
 -0.27825 -0.177396
 -0.24675 -0.177396
 -0.398 -0.09877
 -0.4195 -0.09877
 -0.30825 -0.09877
 -0.41075 -0.09877
 -0.35875 -0.09877
 -0.3235 -0.09877
 -0.4315 -0.09877
 -0.35 0.653247
 -0.374 0.653247
 -0.404 0.653247
 -0.356 0.653247
 -0.441 0.653247
 -0.367 0.653247
 -0.31 0.40229
 -0.38 0.40229
 -0.37625 0.40229
 -0.362 0.40229
 -0.409 0.40229
 -0.3135 0.40229
 -0.317 0.40229
 -0.25275 -0.342583
 -0.261 -0.342583
 -0.2715 -0.342583
 -0.252 -0.342583
 -0.4 -0.342583
 -0.42025 -0.342583
 -0.411 -0.342583
 -0.413 -0.073479
 -0.389 -0.073479
 -0.29675 -0.073479
 -0.3195 -0.073479
 -0.304 -0.073479
 -0.2775 -0.073479
 -0.28075 -0.073479
 -0.38275 -0.34093
 -0.317 -0.34093
 -0.29475 -0.34093
 -0.286 -0.34093
 -0.40825 -0.34093
 -0.274 -0.34093
 -0.2975 -0.34093
 -0.47025 0.781058
 -0.4555 0.781058
 -0.333 0.781058
 -0.3735 0.781058
 -0.2735 0.781058
 -0.28225 0.781058
 -0.427 0.781058
 -0.29475 -0.168494
 -0.26675 -0.168494
 -0.3435 -0.168494
 -0.28825 -0.168494
 -0.464 -0.168494
 -0.46425 -0.168494
 -0.42625 -0.168494
 -0.434 0.191425
 -0.28275 0.191425
 -0.317 0.191425
 -0.366 0.191425
 -0.2575 0.191425
 -0.36425 0.191425
 -0.29825 0.191425
 -0.31625 0.551503
 -0.30625 0.551503
 -0.29825 0.551503
 -0.28675 0.551503
 -0.264 0.551503
 -0.4295 0.551503
 -0.251 0.551503
 -0.3735 0.75069
 -0.42 0.75069
 -0.31275 0.75069
 -0.39675 0.75069
 -0.427 0.75069
 -0.2875 0.75069
 -0.27475 0.75069
 -0.422 -0.190492
 -0.31625 -0.190492
 -0.28875 -0.190492
 -0.328 -0.190492
 -0.36475 -0.190492
 -0.409 -0.190492
 -0.27 -0.190492
 -0.289 0.420961
 -0.43825 0.420961
 -0.321 0.420961
 -0.285 0.420961
 -0.273 0.420961
 -0.438 0.420961
 -0.288 -0.06672699999999999
 -0.2695 -0.06672699999999999
 -0.34475 -0.06672699999999999
 -0.3835 -0.06672699999999999
 -0.38225 -0.06672699999999999
 -0.39825 -0.06672699999999999
 -0.43425 -0.06672699999999999
 -0.2715 -0.13437
 -0.435 -0.13437
 -0.25225 -0.13437
 -0.38075 -0.13437
 -0.277 -0.13437
 -0.407 -0.13437
 -0.254 -0.13437
 -0.23075 0.725169
 -0.402 0.725169
 -0.2775 0.725169
 -0.318 0.725169
 -0.29425 0.725169
 -0.24675 0.725169
 -0.446 0.725169
 -0.373 -0.346218
 -0.2355 -0.346218
 -0.28025 -0.346218
 -0.37225 -0.346218
 -0.44475 -0.346218
 -0.3095 -0.346218
 -0.2555 -0.346218
 -0.426 -0.046735
 -0.25275 -0.046735
 -0.4 -0.046735
 -0.3575 -0.046735
 -0.303 -0.046735
 -0.40675 -0.046735
 -0.396 -0.046735
 -0.428 -0.284412
 -0.42625 -0.284412
 -0.24075 -0.284412
 -0.302 -0.284412
 -0.36025 -0.284412
 -0.441 -0.284412
 -0.34225 -0.284412
 -0.388 -0.203888
 -0.43475 -0.203888
 -0.34825 -0.203888
 -0.41875 -0.203888
 -0.27675 -0.203888
 -0.342 -0.203888
 -0.3995 -0.203888
 -0.291 -0.301619
 -0.4295 -0.301619
 -0.417 -0.301619
 -0.294 -0.301619
 -0.428 -0.301619
 -0.36875 -0.301619
 -0.446 -0.301619
 -0.26875 0.299684
 -0.444 0.299684
 -0.4355 0.299684
 -0.2915 0.299684
 -0.36675 0.299684
 -0.38475 0.299684
 -0.35825 0.299684
 -0.418 -0.210142
 -0.407 -0.210142
 -0.36825 -0.210142
 -0.303 -0.210142
 -0.4435 -0.210142
 -0.442 -0.210142
 -0.27825 -0.210142
 -0.455 0.640141
 -0.3335 0.640141
 -0.39675 0.640141
 -0.432 0.640141
 -0.28425 0.640141
 -0.25475 0.640141
 -0.37475 -0.199178
 -0.3215 -0.199178
 -0.288 -0.199178
 -0.27075 -0.199178
 -0.2775 -0.199178
 -0.27475 -0.199178
 -0.34825 -0.199178
 -0.35825 0.189566
 -0.32475 0.189566
 -0.549 0.189566
 -0.37475 0.189566
 -0.50025 0.189566
 -0.50225 0.189566
 -0.261 0.189566
 -0.177 -0.224246
 -0.153 -0.224246
 -0.237 -0.224246
 -0.285 -0.224246
 -0.57025 -0.224246
 -0.3915 -0.224246
 -0.16875 -0.224246
 -0.23675 0.342979
 -0.1275 0.342979
 -0.57225 0.342979
 -0.387 0.342979
 -0.4375 0.342979
 -0.5255 0.342979
 -0.544 0.342979
 -0.19825 -0.346688
 -0.311 -0.346688
 -0.506 -0.346688
 -0.65025 -0.346688
 -0.4295 -0.346688
 0.015 -0.346688
 -0.037 -0.346688
 -0.3135 -0.290889
 -0.5267500000000001 -0.290889
 -0.448 -0.290889
 0.062 -0.290889
 0.20525 -0.290889
 -0.104 -0.290889
 -0.6909999999999999 -0.290889
 -0.73275 1.317851
 -0.3955 1.317851
 -0.35275 1.317851
 -0.258 1.317851
 -0.534 1.317851
 -0.74425 1.317851
 -0.327 1.317851
 -0.51825 0.750545
 -0.038 0.750545
 -0.25875 0.750545
 -0.252 0.750545
 -0.1575 0.750545
 -0.68625 0.750545
 -0.7235 0.750545
 -0.4375 -0.036837
 -0.098 -0.036837
 -0.137 -0.036837
 -0.128 -0.036837
 -0.4855 -0.036837
 -0.6294999999999999 -0.036837
 -0.299 -0.036837
 -0.16625 -0.114985
 -0.39025 -0.114985
 -0.375 -0.114985
 -0.47475 -0.114985
 -0.556 -0.114985
 -0.407 -0.114985
 -0.1315 -0.114985
 -0.0475 -0.455454
 -0.48675 -0.455454
 -0.6755 -0.455454
 -0.3755 -0.455454
 -0.143 -0.455454
 -0.012 -0.455454
 -0.013 1.014063
 -0.645 1.014063
 -0.27625 1.014063
 -0.503 1.014063
 -0.779 1.014063
 -0.484 1.014063
 -0.381 1.014063
 -0.31075 -0.588334
 -0.54075 -0.588334
 -0.975 -0.588334
 -0.642 -0.588334
 0.24125 -0.588334
 0.32325 -0.588334
 -0.2915 -0.588334
 -0.55625 -0.330425
 -0.657 -0.330425
 0.3 -0.330425
 -0.1015 -0.330425
 -0.383 -0.330425
 -0.5515 -0.330425
 -0.536 -0.330425
 -0.353 0.400404
 0.04375 0.400404
 -0.326 0.400404
 -0.6735 0.400404
 -0.6895 0.400404
 -0.838 0.400404
 -0.39625 0.400404
 -0.1055 -0.36314
 -0.197 -0.36314
 -0.28675 -0.36314
 -0.707 -0.36314
 -0.9027500000000001 -0.36314
 -0.8159999999999999 -0.36314
 0.26325 -0.36314
 0.13925 0.680789
 -0.24825 0.680789
 -0.759 0.680789
 -0.744 0.680789
 -0.292 0.680789
 0.01525 0.680789
 0.042 0.680789
 -0.10825 0.80701
 -0.754 0.80701
 0.04575 0.80701
 0.179 0.80701
 -0.4835 0.80701
 -1.0355 0.80701
 -0.204 0.80701
 0.274 0.48385
 0.25975 0.48385
 0.6185 0.48385
 -1.00625 0.48385
 -1.7895 0.48385
 -0.866 0.48385
 0.716 0.48385
 0.5245 0.114843
 -0.88425 0.114843
 -0.9735 0.114843
 -0.9435 0.114843
 -0.16225 0.114843
 0.149 0.114843
 0.32 0.114843
 -0.7215 -0.252311
 -1.0855 -0.252311
 -0.8555 -0.252311
 0.241 -0.252311
 -0.21625 -0.252311
 -0.5715 -0.252311
 -0.408 -0.252311
 0.05325 -0.392194
 -0.545 -0.392194
 -0.5255 -0.392194
 0.176 -0.392194
 0.132 -0.392194
 -0.538 -0.392194
 -0.80625 0.560964
 -0.73225 0.560964
 -0.60275 0.560964
 -0.6870000000000001 0.560964
 0.11575 0.560964
 1.38525 0.560964
 0.258 0.560964
 -1.229 -0.320098
 -1.2415 -0.320098
 -0.4375 -0.320098
